"Time (sec), t","Pwr Demand (kW), P_dem","Velocity (m/s), v_dc",
996,-0.314904634,10.28192,
997,1.681477367,10.147808,
998,1.681477367,10.147808,
999,7.020002428,10.147808,
1000,5.221897376,10.50544,
1001,6.056248617,10.72896,
1002,3.337268018,10.997184,
1003,4.101065085,11.086592,
1004,4.900221454,11.220704,
1005,2.745470106,11.39952,
1006,1.255167481,11.444224,
1007,-1.752296052,11.39952,
1008,-4.677272439,11.176,
1009,-0.99963092,10.773664,
1010,-1.693835646,10.594848,
1011,-0.310980568,10.371328,
1012,-0.989997306,10.237216,
1013,-1.646839902,10.0584,
1014,-0.978719068,9.83488,
1015,-5.417483064,9.656064,
1016,-15,9.16432,
1017,-15,7.8232,
1018,-12.86208306,6.347968,
1019,-9.901067103,4.872736,
1020,-6.917916416,3.397504,
1021,-3.919332338,1.922272,
1022,-0.235881428,0.44704,
1023,0,0,
1024,0,0,
1025,0,0,
1026,0,0,
1027,0,0,
1028,0,0,
1029,0,0,
1030,0,0,
1031,0,0,
1032,0,0,
1033,0,0,
1034,0,0,
1035,0,0,
1036,0,0,
1037,0,0,
1038,0,0,
1039,0,0,
1040,0,0,
1041,0,0,
1042,0,0,
1043,0,0,
1044,0,0,
1045,0,0,
1046,0,0,
1047,0,0,
1048,0,0,
1049,0,0,
1050,0,0,
1051,0,0,
1052,0,0,
1053,1.057469394,0.536448,
1054,4.114651315,1.78816,
1055,7.517698913,3.263392,
1056,10.93557069,4.738624,
1057,13.55772681,6.213856,
1058,8.635973936,7.59968,
1059,9.428588447,8.27024,
1060,11.99279483,8.9408,
1061,9.277974216,9.745472,
1062,8.474847531,10.28192,
1063,7.467312509,10.72896,
1064,7.746313475,11.086592,
1065,8.780841576,11.444224,
